,q0(theta)
0,0.0
1,1.5669366547859453
2,-0.5809738373307965
3,1.585554028038077
4,-0.8512479727737836
5,1.7180671012605078
6,1.7698272551256125
7,1.7637363949208067
8,1.7775483270792625
9,-0.9951867345554648
10,-0.9233371014980221
11,1.9218310840350379
12,-0.7896713155060573
13,1.6260587457289752
14,0.006876268401686558
15,-0.6216892245963007
16,-0.8226632738739275
17,1.999537900100821
18,1.7808824971097073
19,-0.7414739914228049
20,1.8371729781823225
21,-0.7714782806856181
22,1.7656746049006555
23,-0.848858343998375
24,1.6002014786383962
25,-0.8242707514192857
26,-0.994173974838605
27,-0.7369585990717562
28,1.7549643905823327
29,-0.9793772518387788
30,1.9279875595542424
31,-0.9418053088046946
32,-0.9049166358216304
33,-0.9711021084175901
34,1.8210312732826122
35,-0.6630236275956751
36,1.9398884671864327
37,1.8313590726138542
38,1.6227852226666761
39,-0.6605984192600125
40,-0.708122115336068
41,-0.9591718933564792
42,1.7279533771800708
43,1.744752580666112
44,1.5971540903603865
45,-0.7844326938343976
46,1.979754044609138
47,1.6322125180349392
48,-0.6670391560591841
49,-0.8647766356472152
50,1.6974983261566852
51,1.9435558445026286
52,1.8657132205211877
53,1.8834548234519775
54,0.985885351656739
55,1.5707501926647591
56,2.36309721944067e-05
57,0.06421671479185019
58,-0.974404511915683
59,-0.9091287340406163
60,0.02869485129943365
61,1.9588892549344
62,1.8094524328285402
63,-0.7584937951968705
64,1.5803625775325454
65,-0.9515511982835251
66,1.7849600043107068
67,1.9735332041294338
68,1.8606905732081371
69,1.707093613506553
70,1.9830308164199804
71,1.9218167154582297
72,-0.9023877092448253
73,1.8036964178097028
74,1.7589843572639514
75,1.9283809609076872
76,-0.5920296683876447
77,-0.8628180408858905
78,-0.7468012956340943
79,1.7857095603797735
80,-0.9872298998948464
81,-0.8402912274923304
82,1.7937803302376212
83,1.810684208638787
84,1.5791592547281246
85,1.9383256677374852
86,-0.9535153670081778
87,0.055712358112897875
88,1.8397796571327398
89,-0.7862211935705704
90,1.8098875779565264
91,-0.922638458301287
92,0.005432377584871537
93,-0.9963920041898988
94,1.8208671659469566
95,1.9043738102717551
96,0.061655728897025315
97,1.9246378548077565
98,1.8690463267576531
99,-0.8762323734225562
100,1.697450970304026
101,-0.6770462309961953
102,-0.6025862877987977
103,-0.7860711348187975
104,1.9731870871213866
105,1.9431848646791838
106,-0.7522620301292904
107,-0.842289019905798
108,-0.7356054800499514
109,1.9416445506552702
110,1.8714868212875382
111,1.8592209861946138
112,-0.9820683390148975
113,-0.580621464173451
114,1.619854284395573
115,-0.6298721124296262
116,1.8467943018747819
117,-0.7834599236303694
118,-0.9996984476797409
119,1.6365670059435962
120,-0.6781974944830037
121,1.9623943031085973
122,-0.6815245959853018
123,0.032426760500184365
124,1.8677491744427621
125,-0.9433206247617314
126,1.5771098758820727
127,1.921926491079516
128,-0.7767262842394775
129,1.8276430182322
130,-0.9342399424608822
131,1.7179338910914164
132,-0.6365467459297015
133,1.9132479184498818
134,1.811037932892686
135,0.0020835163008810394
136,1.6154750402609483
137,-0.9727505712229486
138,1.9227093126289652
139,1.9164885578445598
140,0.9374103631673729
141,-0.9092366968907456
142,-0.8604463669135362
143,1.6901709250369041
144,1.7455266445958142
145,-0.5963009711830045
146,-0.8404623579236336
147,-0.6640099322214782
148,0.9467950108785091
149,-0.7326136068758747
150,-0.9802358499600959
151,-0.9208408226483091
152,1.7475899235330645
153,-0.8354342950961682
154,1.8998098523948856
155,-0.7914787653991632
156,1.6764861296251656
157,1.7859969579380064
158,1.7899444539298994
159,-0.8473997078534738
160,-0.9685139963753516
161,-0.8608822865150975
162,1.9836265993187743
163,1.8283399899026584
164,-0.6714868451512862
165,0.9838569017514804
166,-0.8266745435251124
167,1.765576901245739
168,-0.9002179444821842
169,1.608181048027992
170,1.7913220321195094
171,0.9538006152523146
172,-0.9696027924742653
173,-0.8096076039876434
174,1.9851742886847317
175,1.8910065639972216
176,-0.6702562919566992
177,1.693132814307671
178,1.987271285094008
179,1.7749594677986957
180,1.7887008265458448
181,-0.6232089898626982
182,-0.9768632074616426
183,1.8611664287191383
184,1.9278056061974433
185,1.9956948863997732
186,0.9871771086222745
187,1.70881984937434
188,-0.6144346579637684
189,1.9991453197160092
190,-0.9619555571033869
